1185869	0
1185868	16
597651	49
403613	60
84453	81
1183785	389
932391	421
862916	421
100098	435
695572	448
852919	592
312651	616
637313	646
608175	656
738038	680
416310	685
80385	723
582917	727
852302	769
932612	772
696762	778
441765	813
608730	813
608727	816
900736	820
543163	905
850072	905
17472	905
1168119	905
645590	944
313342	975
10957	984
645337	1054
704038	1067
139022	1067
838291	1104
925325	1146
186154	1160
1177180	1160
457407	1172
1032812	1210
1028406	1211
1170036	1258
649720	1306
994926	1307
585440	1335
441383	1389
881523	1566
1153506	1590
734795	1590
683408	1605
1164799	1713
1012121	1752
827277	1757
484187	1822
584690	1838
1029043	1849
955259	1900
460668	1939
401029	1967
1022408	2082
435796	2085
533861	2090
248994	2147
666321	2152
787960	2179
1152312	2210
819250	2210
654557	2272
182487	2277
479537	2313
187504	2313
299783	2313
240132	2313
944600	2315
878725	2315
205515	2328
864272	2411
1021231	2481
564233	2488
277756	2507
500517	2507
759692	2549
455279	2599
966347	2670
208108	2704
829755	2782
733739	2816
892800	2817
945951	2817
947970	2817
190073	2902
1164798	2924
320418	2989
402608	3036
437006	3126
436686	3132
944691	3144
443797	3146
662502	3257
1184679	3368
14562	3382
579208	3393
638564	3436
706970	3557
602162	3597
970505	3617
545059	3702
399213	3745
692976	3745
7273	3745
465177	3745
465567	3745
893638	3745
36948	3745
836827	3745
528723	3802
708236	3815
6072	3838
293239	3863
308652	3920
310130	3923
693161	4029
469979	4084
873759	4097
973685	4196
186617	4251
